pt_cnt,STATE_CD,yoao
XX,AL,117
XX,CA,114
XX,CA,117
XX,CA,119
XX,CA,127
XX,AL,113
XX,CA,115
XX,AL,109
XX,AL,110
XX,CA,113
XX,AL,108
XX,AL,112
XX,CA,110
XX,CA,111
XX,CA,112
XX,AL,107
15,AL,105
16,AL,106
17,CA,109
36,CA,108
47,AL,104
54,AL,103
56,CA,107
91,CA,106
109,AL,102
144,AL,101
156,CA,105
205,AL,100
246,CA,104
307,AL,99
330,AL,98
396,CA,103
430,AL,97
559,AL,96
600,CA,102
736,AL,95
983,AL,94
988,CA,101
1118,AL,93
1276,CA,100
1425,AL,92
1625,AL,91
1831,AL,90
1844,CA,99
2206,AL,89
2320,AL,88
2376,CA,98
2605,AL,
2665,AL,87
2948,AL,86
3000,AL,85
3143,CA,97
3215,AL,84
3320,AL,82
3485,AL,83
3736,AL,80
3771,AL,81
4084,CA,96
4339,AL,79
4393,AL,77
4407,AL,76
4486,AL,63
4488,AL,78
4512,AL,62
4572,AL,74
4641,AL,75
4764,AL,61
4776,AL,73
4866,AL,72
5102,AL,64
5252,AL,60
5416,CA,95
5455,AL,46
5456,AL,44
5478,AL,45
5565,AL,71
5630,AL,69
5650,AL,70
5708,AL,47
5782,AL,43
5816,AL,68
5867,AL,41
5869,AL,48
6040,AL,40
6071,AL,42
6225,AL,39
6340,AL,50
6348,AL,67
6425,AL,49
6586,AL,38
6615,AL,65
6665,AL,51
6724,AL,59
6834,AL,66
6836,AL,37
6898,AL,52
6921,CA,94
7056,AL,53
7082,AL,58
7247,AL,54
7469,AL,55
7497,AL,56
7592,AL,57
7684,AL,36
8006,AL,35
8952,AL,34
9363,CA,93
9647,AL,33
9685,AL,32
10264,AL,31
10774,AL,30
10948,CA,92
11838,AL,29
12318,AL,28
13072,AL,27
13297,CA,91
13361,AL,20
13537,AL,26
14462,AL,25
15168,AL,21
15374,AL,24
15711,AL,22
15902,AL,23
15914,CA,90
17765,CA,89
20217,CA,88
21736,AL,18
21861,AL,19
22209,CA,87
22212,AL,17
22793,AL,16
24172,CA,86
24352,CA,
24384,AL,15
25252,AL,14
25823,CA,62
26623,CA,85
26739,AL,12
27004,AL,13
27126,AL,11
27600,AL,10
28733,AL,9
28932,CA,84
29837,AL,8
30399,CA,63
32386,CA,82
33237,AL,7
33377,CA,83
35148,CA,81
35899,AL,3
36085,AL,6
36561,CA,80
36618,AL,2
36866,AL,4
37172,AL,5
37749,AL,0
38033,CA,64
39232,CA,79
39592,AL,1
41308,CA,61
42033,CA,78
43083,CA,77
45477,CA,76
45918,CA,60
46930,CA,75
47614,CA,74
48090,CA,59
48962,CA,72
49254,CA,58
50155,CA,73
50675,CA,57
52053,CA,55
52588,CA,56
52661,CA,71
53287,CA,54
53309,CA,70
54449,CA,69
55189,CA,53
55642,CA,68
55697,CA,52
56987,CA,51
57276,CA,47
57657,CA,50
57878,CA,49
57968,CA,46
58200,CA,65
58351,CA,48
59280,CA,40
59449,CA,67
59523,CA,45
59956,CA,41
60233,CA,42
60608,CA,39
61420,CA,44
62188,CA,38
62230,CA,43
64033,CA,66
64448,CA,37
66399,CA,36
67832,CA,35
71317,CA,34
72978,CA,22
74645,CA,33
76630,CA,32
77421,CA,30
77448,CA,31
78252,CA,29
78402,CA,23
78497,CA,24
79203,CA,25
79220,CA,28
79477,CA,26
79700,CA,27
140904,CA,21
159794,CA,20
197054,CA,0
210123,CA,19
223498,CA,18
224494,CA,15
224541,CA,16
226087,CA,17
226662,CA,14
235861,CA,13
241257,CA,12
242953,CA,11
249999,CA,10
256656,CA,1
258668,CA,9
268722,CA,2
268987,CA,8
275627,CA,3
285997,CA,4
287128,CA,7
297407,CA,6
298290,CA,5
